,Date,News_Source,Tweet_Number,compound,neg,neu,pos
273,2017-12-08,@CNN,27,-0.4939,0.151,0.849,0.0
274,2017-12-08,@CNN,26,0.296,0.0,0.909,0.091
275,2017-12-08,@CNN,25,0.3612,0.0,0.884,0.116
276,2017-12-08,@CNN,24,-0.3818,0.147,0.784,0.069
277,2017-12-08,@CNN,23,0.7579,0.0,0.698,0.302
278,2017-12-08,@CNN,22,0.4019,0.0,0.863,0.137
279,2017-12-08,@CNN,21,0.1027,0.12,0.744,0.136
280,2017-12-08,@CNN,20,-0.4026,0.169,0.732,0.099
281,2017-12-08,@CNN,19,0.0,0.0,1.0,0.0
282,2017-12-08,@CNN,18,0.0516,0.0,0.93,0.07
283,2017-12-08,@CNN,17,-0.34,0.124,0.876,0.0
284,2017-12-08,@CNN,16,0.128,0.0,0.927,0.073
285,2017-12-08,@CNN,15,0.0,0.0,1.0,0.0
286,2017-12-08,@CNN,14,0.0,0.0,1.0,0.0
287,2017-12-08,@CNN,13,0.2263,0.0,0.905,0.095
288,2017-12-08,@CNN,12,-0.6597,0.188,0.812,0.0
289,2017-12-08,@CNN,11,0.0,0.0,1.0,0.0
290,2017-12-08,@CNN,10,-0.6113,0.25,0.75,0.0
291,2017-12-08,@CNN,9,-0.3182,0.211,0.675,0.114
292,2017-12-08,@CNN,8,0.2732,0.0,0.905,0.095
293,2017-12-08,@CNN,7,0.0,0.0,1.0,0.0
294,2017-12-08,@CNN,6,-0.5423,0.212,0.788,0.0
295,2017-12-08,@CNN,5,0.0,0.0,1.0,0.0
296,2017-12-08,@CNN,4,0.0,0.0,1.0,0.0
297,2017-12-08,@CNN,3,-0.6214,0.336,0.664,0.0
298,2017-12-08,@CNN,2,0.0,0.0,1.0,0.0
299,2017-12-08,@CNN,1,0.0,0.0,1.0,0.0
300,2017-12-09,@FoxNews,100,0.5106,0.0,0.752,0.248
301,2017-12-09,@FoxNews,99,0.0,0.0,1.0,0.0
302,2017-12-09,@FoxNews,98,0.0,0.0,1.0,0.0
303,2017-12-09,@FoxNews,97,0.0,0.0,1.0,0.0
304,2017-12-09,@FoxNews,96,-0.296,0.136,0.864,0.0
305,2017-12-08,@FoxNews,95,-0.5267,0.407,0.429,0.164
306,2017-12-08,@FoxNews,94,-0.1779,0.116,0.884,0.0
307,2017-12-08,@FoxNews,93,0.34,0.0,0.806,0.194
308,2017-12-08,@FoxNews,92,0.0,0.0,1.0,0.0
309,2017-12-08,@FoxNews,91,0.0,0.0,1.0,0.0
310,2017-12-08,@FoxNews,90,-0.3182,0.187,0.813,0.0
311,2017-12-08,@FoxNews,89,0.0,0.0,1.0,0.0
312,2017-12-08,@FoxNews,88,0.5423,0.0,0.78,0.22
313,2017-12-08,@FoxNews,87,0.0,0.0,1.0,0.0
314,2017-12-08,@FoxNews,86,-0.1027,0.123,0.877,0.0
315,2017-12-08,@FoxNews,85,0.2716,0.0,0.896,0.104
316,2017-12-08,@FoxNews,84,0.3612,0.0,0.783,0.217
317,2017-12-08,@FoxNews,83,0.0,0.0,1.0,0.0
318,2017-12-08,@FoxNews,82,0.34,0.0,0.833,0.167
319,2017-12-08,@FoxNews,81,0.3818,0.098,0.67,0.232
320,2017-12-08,@FoxNews,80,0.0,0.0,1.0,0.0
321,2017-12-08,@FoxNews,79,-0.128,0.111,0.889,0.0
322,2017-12-08,@FoxNews,78,-0.5267,0.236,0.764,0.0
323,2017-12-08,@FoxNews,77,0.0,0.0,1.0,0.0
324,2017-12-08,@FoxNews,76,-0.0258,0.18,0.687,0.133
325,2017-12-08,@FoxNews,75,0.4215,0.11,0.671,0.22
326,2017-12-08,@FoxNews,74,-0.6908,0.341,0.659,0.0
327,2017-12-08,@FoxNews,73,-0.8271,0.465,0.535,0.0
328,2017-12-08,@FoxNews,72,0.4767,0.0,0.563,0.437
329,2017-12-08,@FoxNews,71,0.6249,0.0,0.823,0.177
330,2017-12-08,@FoxNews,70,0.0,0.0,1.0,0.0
331,2017-12-08,@FoxNews,69,0.4939,0.0,0.802,0.198
332,2017-12-08,@FoxNews,68,0.34,0.0,0.833,0.167
333,2017-12-08,@FoxNews,67,-0.2732,0.116,0.884,0.0
334,2017-12-08,@FoxNews,66,0.0,0.0,1.0,0.0
335,2017-12-08,@FoxNews,65,-0.5423,0.156,0.844,0.0
336,2017-12-08,@FoxNews,64,0.6273,0.054,0.694,0.252
337,2017-12-08,@FoxNews,63,-0.6908,0.207,0.793,0.0
338,2017-12-08,@FoxNews,62,0.8934,0.0,0.606,0.394
339,2017-12-08,@FoxNews,61,0.6996,0.0,0.697,0.303
340,2017-12-08,@FoxNews,60,0.0258,0.177,0.683,0.141
341,2017-12-08,@FoxNews,59,0.3612,0.0,0.884,0.116
342,2017-12-08,@FoxNews,58,0.7003,0.0,0.674,0.326
